price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,Scored Labels
769995,5,3,3010,5398,2,0,3,9,3010,0,2014,0,98074,3360,5407,768389.9791666667
295000,3,2,1830,17321,1,0,4,7,1100,730,1948,0,98178,1450,10706,307679.125
635000,4,3,2970,7961,1,0,3,8,2020,950,1969,0,98125,1410,7959,524322.1193657299
750000,4,3,3170,7634,2,0,3,10,3170,0,1992,0,98075,2940,7846,820779.4817189701
378950,4,2,1820,8400,1,0,5,7,1300,520,1956,0,98155,1700,9450,379447.4476713762
520000,4,2,2000,6380,2,0,4,6,1860,140,1949,0,98115,1600,6380,509562.5
350000,3,3,1860,21876,2,0,3,8,1860,0,1992,0,98014,2450,21876,408845.86397058825
396000,3,1,1500,12616,1,0,3,7,1500,0,1967,0,98072,1820,13950,328081.60268382356
707500,4,4,1550,6596,2,0,5,7,1550,0,1907,0,98107,1830,4850,690000.0
239000,2,1,1130,15190,1,0,4,7,1130,0,1954,0,98032,1490,16920,280068.42021739134
199950,3,2,1370,10317,2,0,3,6,1370,0,1958,0,98168,1370,9884,258335.9118852459
1140000,5,4,4700,11237,2,0,3,10,2930,1770,2006,0,98033,3180,13140,1336875.0
302000,4,3,1740,7895,2,0,3,7,1740,0,1999,0,98001,1720,6813,269391.8314267737
898000,5,2,2680,28014,1,0,4,8,1450,1230,1963,0,98004,2900,22180,1169375.0
456000,3,2,1870,8442,2,0,5,7,1060,810,1927,0,98117,1640,6174,494150.0
515000,3,2,1490,12000,1,0,4,7,1490,0,1956,0,98006,1630,12000,405625.0
249000,3,2,1300,8500,1,0,4,7,1300,0,1964,0,98022,1410,7800,237869.5194184491
253779,4,2,2030,9600,2,0,3,6,1430,600,1947,0,98188,1820,14600,369118.75
269950,2,2,1320,7540,1,0,3,7,1320,0,1968,0,98038,1570,7540,239343.01564581328
150000,2,1,790,7275,1,0,4,6,790,0,1944,0,98058,850,7399,223702.34375000003
655000,4,3,3160,8197,1,0,3,8,1580,1580,1962,0,98115,2050,8197,705275.4545454546
1170000,4,2,3080,10487,2,0,4,9,3080,0,1968,0,98040,2480,10607,937375.0
240000,3,2,1360,9760,2,0,5,7,1360,0,1984,0,98045,1310,11456,298508.95901408035
473000,3,2,1620,12309,2,0,3,7,1620,0,1987,0,98074,2030,13963,436156.0048828125
575000,2,1,1250,4320,1,0,4,7,850,400,1911,0,98103,1520,4320,494118.75
733000,5,3,2880,4425,2,0,3,8,2880,0,2005,0,98052,2940,6581,752194.630952381
319950,2,3,1280,819,2,0,3,8,1060,220,2006,0,98103,1290,2900,356378.8509615385
400000,4,3,2350,3904,3,0,3,7,2350,0,1999,0,98106,1120,4000,379442.84675117675
519500,3,3,2390,19454,2,0,3,8,2390,0,2008,0,98166,1540,26979,527374.7095864862
1260000,3,3,3110,9930,1,0,3,8,1640,1470,1954,0,98039,3650,14399,1120437.5
713000,5,3,2580,9242,2,0,4,8,1720,860,1967,0,98007,2240,9316,581295.914868813
234950,3,1,1360,9948,1,0,3,6,1360,0,1977,0,98010,1670,8475,362724.8721438806
625000,4,3,2601,34335,2,0,3,9,2601,0,1995,0,98072,2080,32336,620639.4313219895
415000,3,2,1070,8000,1,0,3,7,1070,0,1977,0,98052,1200,7990,367437.5
299000,2,1,710,6732,1,0,5,6,710,0,1942,0,98126,710,6720,291212.5
289950,4,2,2190,6906,1,0,4,7,1040,1150,1977,0,98023,1250,6440,281465.8283382791
699000,5,3,3340,24755,2,0,3,10,3340,0,2002,0,98038,3420,23274,814517.1276041667
450000,3,2,1420,13468,1,0,3,7,960,460,1976,0,98033,1480,10980,493687.5
570000,3,2,1260,3328,1,0,5,6,700,560,1905,0,98103,1380,3536,412687.5
379880,3,3,1650,14054,1,0,4,7,1130,520,1986,0,98027,1940,87555,406745.88093124377
1220000,4,3,3670,15400,2,0,4,10,3670,0,1986,0,98006,3370,13300,988995.9541666667
515500,4,3,2920,7700,2,0,3,9,2920,0,2003,0,98019,2920,8943,653217.6041666667
200000,2,1,1400,9600,2,0,4,6,1400,0,1941,0,98022,1230,9600,237421.73698594552
670000,5,3,2900,5155,2,0,3,8,2900,0,2008,0,98075,2900,6176,621738.6213895394
499000,3,3,1610,1728,3,0,3,8,1610,0,2000,0,98115,1540,3090,537029.6763507636
225000,3,2,1550,9060,2,0,3,7,1550,0,1948,1979,98146,1080,7620,443593.75
1070000,5,4,3990,9938,2,0,3,11,3990,0,2001,0,98059,3490,11734,1104662.5
315000,3,2,1340,12800,1,0,3,7,880,460,1981,0,98058,1500,7875,246779.79291176135
930000,3,2,2890,5000,3,0,3,9,2890,0,2014,0,98117,2020,5000,880932.2368421053
202000,3,2,1420,9081,1,0,4,6,1420,0,1990,0,98022,1090,8410,202529.2272000916
740500,3,4,4380,6350,2,0,3,8,2780,1600,1900,1999,98117,1830,6350,982875.0
257000,3,2,1540,8223,1,0,4,7,1070,470,1987,0,98042,1240,8113,264471.6823803344
259950,4,2,1540,10212,2,0,5,7,1540,0,1948,0,98022,1480,10212,260437.5
440000,4,3,2400,8038,2,0,3,8,2400,0,2002,0,98059,2040,7756,491744.92363518896
219000,3,2,1090,7350,1,0,4,7,1090,0,1990,0,98042,1490,7741,234743.77259005618
255000,3,2,1240,8528,1,0,4,7,1240,0,1967,0,98058,1570,8064,238930.62525172462
329900,3,2,1380,5198,1,0,4,7,1380,0,1982,0,98106,1320,6827,305967.8568162554
275000,4,1,1770,7345,2,0,3,7,1770,0,1966,0,98106,1580,7345,315521.2854233709
301000,3,3,2420,4750,2,0,3,8,2420,0,2003,0,98042,2690,4750,319625.0
525000,4,2,1710,10440,1,0,4,7,1710,0,1955,0,98006,1480,10440,414277.80601092894
760000,4,2,2500,8500,2,0,4,8,2500,0,1979,0,98006,2470,9100,709309.6968085107
1370000,2,2,2460,16940,2,0,4,9,1930,530,1936,0,98117,2260,6851,951875.0
352800,4,2,2080,6360,1,0,3,7,1330,750,1960,0,98118,2080,6741,361153.6797220922
450000,2,2,1040,1377,2,0,3,8,1040,0,2003,0,98105,1264,1892,480968.75
683000,4,3,2620,10489,2,0,3,9,2620,0,1990,0,98052,2430,7701,675443.217815171
650000,4,3,2620,19864,2,0,4,8,2620,0,1984,0,98052,2500,13285,761743.75
398000,4,1,1420,6458,1,0,4,7,1420,0,1953,0,98117,1670,6350,373731.55899242195
302000,3,1,1110,7000,2,0,4,7,1110,0,1955,0,98133,1800,7000,331423.6918604651
420000,3,2,2020,38332,1,0,4,7,1010,1010,1975,0,98027,2110,36590,390367.83088235295
425000,3,2,1400,6970,2,0,3,8,1400,0,1984,0,98006,1800,8140,393251.92457311205
880000,3,2,2130,35169,1,0,4,8,2130,0,1989,0,98072,2860,43560,573427.5808867142
440000,3,2,1570,5120,1,0,3,7,980,590,1947,0,98177,2420,7200,482262.5
380000,5,2,1680,3240,1,0,3,5,840,840,1906,0,98144,1380,1260,415875.0
664500,4,2,3070,9210,2,0,3,8,2740,330,2010,0,98011,2580,9660,532276.2432561459
582500,2,1,1140,23779,2,0,3,6,1140,0,1966,0,98033,2940,8417,504375.0
625000,3,3,2750,35000,2,0,3,9,2750,0,1993,0,98077,2780,35862,603043.5142780172
549950,5,3,2650,54380,2,0,3,9,2650,0,1984,0,98077,2560,49044,624132.0702108784
697000,4,3,3220,6399,2,0,3,9,3220,0,2004,0,98075,2850,6399,708348.4677364106
785000,4,3,3270,9578,2,0,3,9,3270,0,1993,0,98027,3120,8784,738383.1552364106
784000,4,3,3540,7091,2,0,4,8,1970,1570,1947,0,98199,2200,6000,915306.125
444000,4,3,2800,7198,2,0,3,8,2800,0,2002,0,98038,3610,7845,457500.0
410000,4,2,1490,13736,1,0,4,6,1490,0,1942,0,98125,2040,7200,343781.25
530000,4,3,2940,35996,2,0,3,9,2940,0,1995,0,98042,2890,35089,578011.3541666667
680000,2,2,1450,989,3,0,3,9,1450,0,2014,0,98109,1490,1240,746467.2146381579
610000,4,2,2200,7200,1,0,4,8,1220,980,1958,0,98144,1940,6000,617508.9729879855
489000,2,2,1810,4220,2,0,3,8,1810,0,2004,0,98053,1350,4479,480235.8174338637
735000,4,2,2410,4250,2,0,5,7,1460,950,1929,0,98117,1360,5074,528000.0
592000,3,2,1560,7424,1,0,5,8,1560,0,1940,0,98117,1370,7424,450826.25
1330000,4,3,2440,3600,3,0,4,8,2440,0,1902,0,98119,2440,5440,990750.0
410000,2,1,800,4342,1,0,3,6,670,130,1927,0,98115,1210,4343,396085.0
720000,3,3,2820,14250,2,0,3,11,2820,0,1991,0,98074,2820,12600,848287.5
1980000,4,4,4500,44384,1,0,3,12,3340,1160,1990,0,98004,2540,26287,1838750.0
470000,3,2,1730,38884,1,0,3,8,1730,0,1997,0,98038,2130,91040,360205.0
239000,3,2,1470,8925,1,0,4,7,1470,0,1957,0,98022,1430,9282,242172.94649344287
375000,3,2,1450,7300,2,0,5,7,1450,0,1955,0,98133,1660,9069,422293.1451612903
740000,3,3,2710,18480,2,0,3,10,2000,710,1978,0,98034,2710,18077,1298625.0
330000,4,2,1170,4000,1,0,3,7,1170,0,1955,0,98144,1720,4000,430812.5
459000,4,2,1560,3840,1,0,4,6,960,600,1924,0,98117,1560,4800,473612.5
530000,3,1,1370,4040,2,0,3,7,1370,0,1906,0,98103,1220,3030,585348.5
580000,3,3,2150,7484,2,0,3,8,2150,0,1988,0,98074,2150,6879,517181.40672363725
695500,5,3,2510,9180,1,0,4,8,1600,910,1975,0,98052,2650,9780,600077.5
765000,5,3,2870,5700,1,0,3,7,1950,920,1964,0,98103,1730,5529,499650.0
146000,3,1,900,4770,1,0,3,6,900,0,1969,2009,98023,900,3480,120537.5
950000,4,3,3820,15293,2,0,3,10,3820,0,2003,0,98074,2790,7142,944235.6111940298
730000,4,4,3370,5638,2,0,3,10,2250,1120,2001,0,98034,3080,7200,1005500.0
329950,4,3,2120,4558,2,0,3,7,2120,0,2002,0,98038,2370,5506,370818.0898547269
267000,4,2,2000,7350,1,0,3,7,1100,900,1963,0,98003,1720,7350,309183.3350114918
875000,5,3,4230,21455,2,0,3,10,2720,1510,1990,0,98074,3280,22393,908978.8461538461
360000,4,2,1650,7552,1,0,4,7,860,790,1977,0,98155,1410,7199,336179.28356282273
518000,4,3,2440,12051,1,0,5,8,1440,1000,1966,0,98133,2030,8006,595318.1065332862
615000,3,2,1720,4080,1,0,4,7,960,760,1924,0,98144,1660,4080,580875.0
950000,2,2,2200,2043,2,0,3,9,1760,440,2007,0,98004,2020,1957,924912.5
569888,4,3,2590,6474,2,0,3,8,2590,0,2014,0,98056,1960,8679,536571.6427931667
546800,4,2,2170,10000,1,0,3,8,1420,750,1975,0,98008,2390,11000,562165.7514893025
458500,3,2,1890,1599,2,0,3,9,1430,460,2012,0,98136,1780,1562,581804.2557581911
588000,4,3,3060,7710,2,0,3,9,3060,0,2009,0,98059,3040,7840,616524.1666666666
294010,3,2,1550,4057,1,0,3,6,830,720,1945,0,98106,1100,4116,303023.75
200000,3,2,1210,10588,1,0,4,7,1210,0,1958,0,98002,1408,10588,251292.46647725883
400950,2,2,2320,6250,1,0,3,7,1400,920,1948,0,98136,1420,6250,409468.75
435000,4,2,2730,7506,2,0,4,8,2730,0,1987,0,98058,2390,8015,420406.25
490000,3,2,2380,6000,1,0,3,8,2040,340,1961,0,98115,1680,7200,505470.42757774144
685000,3,2,1940,7313,1,0,4,8,1440,500,1960,0,98136,2160,7200,597016.4477261879
542000,2,1,890,3060,1,0,3,7,770,120,1910,0,98105,1760,4080,423664.625
1550000,2,2,2950,15593,1,0,4,8,1560,1390,1942,1986,98039,2060,19855,549525.0
450000,3,3,2840,39324,1,0,3,9,2200,640,1988,0,98092,2840,39413,455537.5
825000,3,3,3760,5260,2,0,3,9,3230,530,2002,0,98029,3080,5312,726791.540625
1290000,4,4,3700,13175,2,0,4,11,3700,0,1989,0,98006,3880,15508,1062500.0
381500,4,3,2430,5556,2,0,4,8,2430,0,2003,0,98042,2430,5556,323587.5
288000,0,2,1430,1650,3,0,3,7,1430,0,1999,0,98125,1430,1650,300299.38100084226
1650000,8,3,4040,20666,1,0,4,9,2020,2020,1962,0,98004,3670,20500,1448750.0
650000,3,3,2190,3600,2,0,3,9,2190,0,2003,0,98029,2300,3600,671375.3607406538
248000,1,1,790,12000,1,0,3,6,790,0,1918,0,98118,1900,6000,335018.75
259000,3,2,1870,5909,1,0,3,7,1270,600,1986,0,98030,1870,7887,281638.42690242553
545000,3,3,1900,3366,2,0,3,9,1900,0,1996,0,98033,2500,3954,786265.474137931
1920000,4,3,3070,34412,1,0,4,9,2070,1000,1950,0,98039,3780,27940,1404687.5
305000,2,1,910,22725,1,0,1,6,910,0,1926,0,98155,2000,14566,309625.0
475000,3,2,1850,26445,1,0,4,7,1850,0,1962,1977,98010,2110,23280,381791.0651694223
386000,2,3,1620,3196,2,0,3,8,1620,0,2008,0,98065,1750,2828,453936.3649987956
667000,3,2,1770,3880,1,0,3,8,1300,470,1963,0,98117,1430,3880,473324.96498114505
335000,1,1,720,5100,1,0,3,6,720,0,1907,0,98117,1320,5100,384795.25
390000,3,2,1180,7700,1,0,4,7,1180,0,1959,0,98007,1510,8800,426875.0
279000,3,2,1640,5650,1,0,3,7,1640,0,2003,0,98042,2250,5488,271929.5617948749
435000,3,2,2040,6880,2,0,4,7,2040,0,1954,0,98133,1710,7597,412179.22520242917
387000,2,3,1170,1394,2,0,3,8,1170,0,2001,0,98122,1250,3136,422242.0191101444
515055,4,3,2400,8320,2,0,3,8,2400,0,1999,0,98045,2430,9258,528751.9474755258
525000,5,3,2450,4591,2,0,3,7,2450,0,1994,0,98117,1060,5500,556250.0
220000,3,1,1000,6020,1,0,3,6,1000,0,1944,0,98166,1300,8640,210277.86676736627
328000,4,3,3380,7500,2,0,3,7,2420,960,1990,0,98198,1920,7500,471375.24543269235
563000,3,2,1380,5000,2,0,4,7,1380,0,1917,0,98117,1350,5000,520937.5
405000,4,3,2220,4652,2,0,3,7,2220,0,2001,0,98059,1840,4500,376496.8302301919
542000,3,2,2220,12056,2,0,3,8,2220,0,1985,0,98052,2320,12025,596536.7184240656
1440000,4,3,2660,9547,1,0,3,8,1930,730,1968,2006,98004,2410,10001,894225.0
425000,3,2,1960,43332,1,0,4,7,1400,560,1982,0,98077,2010,44431,436798.0038901602
671300,4,3,3280,5232,2,0,3,7,3280,0,2004,0,98053,2600,5080,645100.0
850000,5,3,2920,11880,1,0,5,8,1660,1260,1968,0,98027,3910,14491,882085.6548507463
265000,4,2,1240,8158,1,0,4,7,1110,130,1961,0,98198,1520,8147,234859.60306056612
950000,5,3,2700,3650,2,0,3,9,2070,630,1926,2014,98144,1940,4000,1033337.5
430000,3,1,940,12521,2,0,4,7,940,0,1949,0,98133,1920,9046,289125.0
229000,4,1,1320,5000,2,0,3,7,1320,0,1928,0,98106,1640,5164,582375.0
280000,3,2,1610,10454,1,0,3,7,1610,0,1977,0,98148,1720,9583,281974.31108645
225000,3,2,1590,9200,1,0,4,7,1110,480,1979,0,98092,1880,9200,279646.873079767
288790,3,2,1290,1237,2,0,3,7,1060,230,2008,0,98027,1370,942,316122.0927419355
385000,3,2,1600,10318,1,0,3,7,930,670,1941,0,98133,1590,7040,412861.0
172500,2,2,1510,20685,1,0,2,6,1250,260,1958,0,98059,1490,29527,233218.63719512196
849950,3,3,2990,9773,2,0,4,8,2990,0,1973,0,98005,2230,11553,856250.0
462600,3,2,1430,11761,1,0,4,8,1430,0,1964,0,98052,2040,10035,457974.42068117065
327000,3,2,1510,344124,1,0,4,7,1510,0,1964,0,98022,1750,169884,388562.5
549950,3,3,2680,5860,2,0,3,8,2680,0,2001,0,98011,2680,5860,545136.1862206745
515000,3,2,1190,4500,1,0,3,6,1190,0,1922,2012,98116,1820,4500,484225.0
600000,3,3,1520,1800,3,0,3,7,1520,0,2003,0,98115,1520,1500,413500.0
169000,3,1,890,7110,1,0,3,6,890,0,1957,0,98178,1100,8375,187371.57951335388
1280000,5,4,5040,9466,2,0,3,11,5040,0,2004,0,98059,4300,9417,1438750.0
677500,3,2,2020,9718,1,0,3,8,2020,0,1956,0,98040,2370,8604,657875.0
490000,4,3,2360,4367,2,0,3,8,2360,0,2003,0,98011,2360,4868,554293.4230422325
722500,4,4,2600,5100,2,0,3,8,1820,780,2003,0,98117,2000,6720,667992.7342717365
400000,3,1,1050,6000,1,0,3,7,1050,0,1952,0,98116,1720,6000,422750.0
375000,4,3,1430,7403,1,0,3,7,1030,400,1982,0,98106,1480,7663,251705.332116508
349990,3,1,1350,165092,1,0,5,6,1350,0,1925,0,98022,2300,211266,334437.5
490000,4,3,2430,42646,1,0,3,7,1450,980,1989,0,98014,2000,38159,432753.125
234000,4,2,1710,7455,1,0,3,7,1030,680,1975,0,98031,1710,7350,273750.8467015038
545000,3,1,960,5030,1,0,3,7,960,0,1955,0,98118,1460,5400,343709.4001623377
344000,1,2,760,779,3,0,3,8,760,0,2006,0,98107,1290,1189,327875.0
548000,2,1,1470,3864,1,0,4,7,1170,300,1916,0,98103,1570,3864,550387.5
785000,3,2,2090,5015,2,0,5,7,2090,0,1920,0,98112,1930,4250,709131.25
400000,3,3,1495,936,3,0,3,8,1405,90,2006,0,98144,1495,1186,508824.5695540936
583000,4,3,2200,9453,1,0,5,8,1100,1100,1955,0,98144,1390,5355,618368.75
475000,4,3,2200,16288,1,0,3,7,1290,910,1980,0,98059,2650,6620,467255.0716592926
598800,1,1,1090,32010,1,0,4,6,1090,0,1958,0,98014,1870,25346,293984.7537878788
450000,2,2,1510,4908,1,0,3,8,1510,0,2006,0,98053,1440,3921,448235.8174338637
778000,3,2,2260,33080,1,0,5,9,1690,570,1974,0,98005,3020,35291,658320.8837484601
485000,5,2,1910,5508,1,0,3,7,1020,890,1968,0,98133,1030,7440,517905.26923076925
665000,2,2,1615,4590,2,0,5,8,1615,0,1906,0,98103,1470,4590,645600.0
485000,3,3,3340,70131,2,0,3,9,2420,920,1994,0,98022,2760,116740,613448.9933894231
257000,2,1,770,11084,1,0,4,6,770,0,1947,0,98155,1010,11084,257437.5
635000,3,2,1940,167125,1,1,4,7,1480,460,1955,0,98070,1910,127195,571625.0
600000,2,1,1110,3500,2,0,3,6,970,140,1912,0,98102,1884,1778,384850.0
585000,3,2,3190,207346,2,0,3,9,3190,0,1994,0,98022,2930,206474,716928.6675246432
256000,3,1,880,5375,1,0,4,5,880,0,1924,0,98055,980,4838,249800.0
481500,3,2,2140,6000,1,0,3,7,1070,1070,1948,0,98117,1240,4650,526687.5
242025,4,2,1400,54014,2,0,4,7,1400,0,1935,0,98031,1910,8523,379289.81481481483
205000,4,3,1767,4500,2,0,3,8,1767,0,2006,0,98001,1949,4636,299312.5
510000,4,3,2010,9075,1,0,4,8,1310,700,1959,0,98006,1850,9220,497546.73348549946
319000,2,1,780,8271,1,0,4,6,780,0,1924,0,98115,2220,8271,366903.125
615000,5,3,3090,7069,2,0,3,9,3090,0,2012,0,98056,2480,8000,877640.3291666666
400000,2,1,880,5111,1,0,3,6,880,0,1931,0,98115,1370,5111,320437.5
1150000,4,3,4190,10259,2,0,3,11,3150,1040,2000,0,98074,4300,11919,1156250.0
700000,3,3,2060,10650,1,0,5,8,1050,1010,1976,0,98006,2690,8850,628317.7083333333
704000,3,1,1140,6120,2,0,3,7,1140,0,1926,0,98115,1800,4080,522375.0
263000,3,2,1580,9187,1,0,3,8,1180,400,1993,0,98038,1620,6397,341290.875
292500,3,3,1440,1068,2,0,3,8,1160,280,2006,0,98106,1580,1483,351765.47516835015
1150000,3,2,3250,34848,1,0,3,10,2260,990,2006,0,98005,2770,21512,972062.5
702000,4,3,2650,6240,2,0,3,8,2650,0,2013,0,98053,2640,6524,702403.0555011343
522500,4,2,1640,9299,2,0,4,7,870,770,1943,0,98056,2460,14326,384143.75
550000,4,3,2700,5150,2,0,3,9,2700,0,2007,0,98059,3160,7620,628506.1704545455
425000,4,2,2200,8384,1,0,3,7,1250,950,1959,0,98155,1750,8384,384608.8827190171
575000,5,3,3070,7200,2,0,3,8,3070,0,2005,0,98059,2590,7200,539528.9785183087
165000,3,1,1050,5156,2,0,3,7,1050,0,1919,0,98106,1050,5502,378758.0
1470000,4,4,4930,22093,2,0,3,12,4930,0,2004,0,98075,4630,18889,1510625.0
306000,2,1,930,5650,1,0,3,7,930,0,1941,0,98126,1340,6400,407348.75
785000,3,4,4500,21870,2,0,3,10,4500,0,2004,0,98092,4670,23058,929875.0
250000,3,1,1300,8284,1,0,3,7,1300,0,1968,0,98003,1360,7848,229664.27348950005
185000,3,1,1510,17040,1,0,4,6,1510,0,1975,0,98001,1520,14000,225783.82675438598
349950,4,4,2796,3520,3,0,3,8,2796,0,2013,0,98001,2040,5195,401650.0
279000,4,3,1810,13000,1,0,4,8,1470,340,1977,0,98022,1850,13000,401970.2680953578
901000,4,3,3030,18400,2,0,3,9,2360,670,1973,0,98034,3030,12486,856937.5
335000,3,2,1270,4800,1,0,3,7,1270,0,1953,0,98117,1490,4800,414828.90909090906
540000,4,3,2290,4450,2,0,3,9,2290,0,2004,0,98072,2570,5096,612373.1312766091
410000,3,2,1640,17583,1,0,3,7,1110,530,1969,0,98034,1420,11680,430000.0
261000,3,2,1350,7686,1,0,3,7,1350,0,1987,0,98038,1370,7686,241711.4951286297
288000,5,3,2790,4807,2,0,4,7,2140,650,1949,0,98002,1056,4807,573000.0
288000,4,2,1610,3560,2,0,3,7,1610,0,2010,0,98038,1760,3692,285918.83633666264
279000,3,2,1750,9623,1,0,3,7,1150,600,1962,0,98198,1820,9623,294307.393837869
530000,4,3,2050,6360,2,0,3,8,2050,0,1988,0,98029,2070,7541,552350.1834031204
415000,3,2,2180,11100,1,0,5,8,1700,480,1979,0,98056,2350,11397,553536.7554678342
465000,3,2,1490,10757,1,0,3,7,1060,430,1966,0,98034,1490,10609,404712.5
429950,4,3,2320,4524,2,0,3,8,2320,0,2004,0,98059,2330,4524,487335.5777691294
570000,4,3,1490,6766,2,0,5,7,1490,0,1915,0,98136,1990,6526,503881.25
255000,2,2,920,1598,2,0,3,7,920,0,1995,0,98133,1110,1598,272820.90773809527
630000,4,2,1770,12278,1,0,3,7,1350,420,1937,0,98115,1670,9336,379125.0
378000,4,2,1990,23200,1,0,4,7,1990,0,1976,0,98059,1950,17040,390571.4922869046
289999,3,2,1490,9285,1,0,3,8,1490,0,1995,0,98092,2040,6681,257312.5
1700000,5,5,4930,14649,2,0,3,11,4160,770,2000,0,98040,3030,8479,2012500.0
600000,3,2,1480,5400,2,0,4,8,1480,0,1914,0,98122,1280,3600,681937.5
1560000,5,3,2870,16238,2,0,4,8,2870,0,1962,0,98039,2870,16238,719187.108981763
650000,3,2,2330,7200,1,0,4,8,1320,1010,1950,0,98118,1820,7200,632500.0
723000,4,3,2700,4004,2,0,3,9,2700,0,2004,0,98029,2260,4459,827170.3385416666
310000,3,3,1990,3600,2,0,3,7,1990,0,2004,0,98038,1790,3600,341492.7218122439
284000,3,3,1880,6008,2,0,3,7,1880,0,2009,0,98042,2180,5185,311245.3821359703
585000,4,2,1760,5356,1,0,4,7,920,840,1950,0,98115,1680,5184,624063.375
418000,2,1,1040,6900,1,0,4,7,1040,0,1915,0,98136,1620,6280,438556.25
1600000,5,5,5130,43123,2,0,3,11,5130,0,1996,0,98006,4670,43560,1510000.0
1150000,4,4,4160,35000,2,0,3,11,4160,0,1991,0,98053,5330,36446,1095000.0
335000,3,2,1730,15003,1,0,3,7,1150,580,1980,0,98014,1900,15483,342027.21925660764
895900,4,4,3640,4983,2,0,3,9,2790,850,2014,0,98075,3270,14700,765623.665625
211000,3,2,1060,7412,1,0,3,7,1060,0,1987,0,98038,1080,7093,230611.6059430863
420000,2,2,1060,4182,2,0,3,7,1060,0,1977,0,98115,1760,4590,403525.0
505000,2,1,810,5060,1,0,3,6,810,0,1941,0,98116,900,5060,298250.0
360000,2,2,1230,1107,2,0,3,8,1230,0,2006,0,98029,1380,1107,399900.59803921566
370000,3,2,1530,10300,1,0,4,7,1530,0,1978,0,98133,1940,9883,418264.44852941175
